t_ms,phi_deg,ank_deg,alpha_deg,del_cmd_deg,del_now_deg
122357,-0.088,14.348,14.260,40,37.793
122367,-0.110,14.282,14.172,40,37.793
122377,-0.088,14.546,14.458,40,37.881
122387,-0.044,13.953,13.909,40,37.881
122397,-0.088,14.612,14.524,40,37.881
122407,-0.066,14.392,14.326,40,37.881
122417,-0.088,14.524,14.436,40,37.793
122427,-0.066,14.788,14.722,40,37.881
122437,-0.110,14.832,14.722,40,37.793
122447,-0.088,14.172,14.084,40,37.881
122457,-0.132,13.821,13.689,40,37.793
122467,-0.088,14.063,13.975,40,37.793
122477,-0.154,14.458,14.304,40,37.793
122487,-0.088,14.216,14.128,40,37.793
122497,-0.066,14.656,14.590,40,37.881
122507,-0.132,13.997,13.865,40,37.881
122517,-0.088,14.392,14.304,40,37.793
122527,-0.088,14.678,14.590,40,37.793
122537,-0.176,14.150,13.975,40,37.881
122547,-0.154,14.458,14.304,40,37.793
122557,-0.088,14.458,14.370,40,37.793
122567,-0.132,14.414,14.282,40,37.881
122577,-0.110,14.392,14.282,40,37.793
122587,-0.110,14.128,14.019,40,37.793
122597,-0.088,14.304,14.216,40,37.881
122607,-0.066,14.216,14.150,40,37.881
122617,-0.110,14.634,14.524,40,37.793
122627,-0.154,14.260,14.106,40,37.793
122637,-0.132,14.502,14.370,40,37.793
122647,-0.066,14.326,14.260,40,37.881
122657,-0.066,14.150,14.084,40,37.881
122667,-0.176,14.458,14.282,40,37.881
122677,-0.066,14.414,14.348,40,37.793
122687,-0.088,14.106,14.019,40,37.881
122697,-0.110,14.370,14.260,40,37.881
122707,-0.022,14.304,14.282,40,37.881
122717,-0.088,14.282,14.194,40,37.881
122727,-0.088,14.502,14.414,40,37.793
122737,-0.044,14.414,14.370,40,37.793
122747,-0.088,14.084,13.997,40,37.881
122757,-0.044,14.480,14.436,40,37.793
122767,-0.044,14.326,14.282,40,37.881
122777,-0.132,14.897,14.766,40,37.793
122787,-0.132,14.392,14.260,40,37.881
122797,-0.066,13.843,13.777,40,37.881
122807,-0.044,14.546,14.502,40,37.881
122817,-0.022,14.041,14.019,40,37.881
122827,-0.044,14.546,14.502,40,37.881
122837,0.022,13.931,13.953,40,37.793
122847,-0.110,14.063,13.953,40,37.793
122857,-0.066,14.238,14.172,40,37.881
122867,-0.088,14.282,14.194,40,37.881
122877,-0.044,14.546,14.502,40,37.881
122887,0.044,14.348,14.392,40,37.793
122897,-0.022,14.128,14.106,40,37.881
122907,0.022,14.260,14.282,40,37.793
122917,0.000,14.458,14.458,40,37.793
122927,-0.044,14.128,14.084,40,37.881
122937,-0.044,14.568,14.524,40,37.881
122947,0.000,14.744,14.744,40,37.793
122957,0.022,14.106,14.128,40,37.881
122967,0.022,14.678,14.700,40,37.881
122977,0.022,14.238,14.260,40,37.881
122987,0.044,14.612,14.656,40,37.881
122997,0.022,13.953,13.975,40,37.881
123007,-0.022,14.656,14.634,40,37.793
123017,-0.022,14.326,14.304,40,37.881
123027,0.022,14.436,14.458,40,37.881
123037,0.044,14.766,14.810,40,37.881
123047,0.044,14.568,14.612,40,37.881
123057,0.066,14.063,14.128,40,37.881
123067,-0.022,14.612,14.590,40,37.881
123077,0.066,14.150,14.216,40,37.793
123087,0.022,14.612,14.634,40,37.881
123097,0.044,14.546,14.590,40,37.881
123107,0.088,14.172,14.260,40,37.881
123117,0.066,14.480,14.546,40,37.881
123127,0.066,14.436,14.502,40,37.881
123137,0.088,14.722,14.810,40,37.793
123147,0.066,14.084,14.150,40,37.881
123157,0.044,14.612,14.656,40,37.793
123167,0.066,14.678,14.744,40,37.881
123177,0.088,14.326,14.414,40,37.793
123187,0.110,14.766,14.875,40,37.793
123197,0.088,14.106,14.194,40,37.881
123207,0.088,14.304,14.392,40,37.793
123217,0.154,14.524,14.678,40,37.881
123227,0.088,14.216,14.304,40,37.793
123237,0.132,14.084,14.216,40,37.881
123247,0.088,14.700,14.788,40,37.881
123257,0.154,14.019,14.172,40,37.793
123267,0.132,14.348,14.480,40,37.793
123277,0.088,14.348,14.436,40,37.881
123287,0.110,14.348,14.458,40,37.881
123297,0.132,14.216,14.348,40,37.793
123307,0.132,14.348,14.480,40,37.793
123317,0.066,14.084,14.150,40,37.793
123327,0.132,14.304,14.436,40,37.793
123337,0.110,14.150,14.260,40,37.881
123347,0.154,14.546,14.700,40,37.793
123357,0.132,14.216,14.348,40,37.793
123367,0.132,14.326,14.458,40,37.793
123377,0.088,14.150,14.238,40,37.881
123387,0.198,14.722,14.919,40,37.793
123397,0.110,14.568,14.678,40,37.881
123407,0.154,14.414,14.568,40,37.793
123417,0.132,14.502,14.634,40,37.881
123427,0.154,14.854,15.007,40,37.881
123437,0.066,14.788,14.854,40,37.881
123447,0.110,14.216,14.326,40,37.881
123457,0.198,14.392,14.590,40,37.881
123467,0.132,14.458,14.590,40,37.881
123477,0.088,14.282,14.370,40,37.793
123487,0.154,14.480,14.634,40,37.881
123497,0.088,14.700,14.788,40,37.881
123507,0.110,14.172,14.282,40,37.793
123517,0.132,14.282,14.414,40,37.793
123527,0.088,14.063,14.150,40,37.793
123537,0.088,14.722,14.810,40,37.793
123547,0.110,14.656,14.766,40,37.881
123557,0.154,14.722,14.875,40,37.881
123567,0.132,14.106,14.238,40,37.881
123577,0.110,14.634,14.744,40,37.881
123587,0.110,14.524,14.634,40,37.881
123597,0.110,14.612,14.722,40,37.881
123607,0.110,14.875,14.985,40,37.793
123617,0.132,14.019,14.150,40,37.881
123627,0.132,14.172,14.304,40,37.881
123637,0.066,14.260,14.326,40,37.881
123647,0.088,14.260,14.348,40,37.793
123657,0.088,14.590,14.678,40,37.881
123667,0.088,14.216,14.304,40,37.881
123677,0.044,14.304,14.348,40,37.793
123687,0.154,14.436,14.590,40,37.881
123697,0.176,14.458,14.634,40,37.881
123707,0.022,14.963,14.985,40,37.881
123717,0.066,14.744,14.810,40,37.881
123727,0.110,14.612,14.722,40,37.881
123737,0.110,14.106,14.216,40,37.881
123747,0.110,14.172,14.282,40,37.881
123757,0.066,14.480,14.546,40,37.881
123767,0.066,14.414,14.480,40,37.881
123777,0.000,14.392,14.392,40,37.793
123787,0.066,14.875,14.941,40,37.881
123797,-0.022,14.480,14.458,40,37.881
123807,0.066,14.480,14.546,40,37.881
123817,0.088,14.744,14.832,40,37.793
123827,0.044,14.722,14.766,40,37.881
123837,0.044,14.216,14.260,40,37.793
123847,0.088,14.678,14.766,40,37.793
123857,0.022,14.172,14.194,40,37.793
123867,0.022,14.326,14.348,40,37.881
123877,0.066,14.810,14.875,40,37.793
123887,0.000,14.722,14.722,40,37.881
123897,0.022,14.524,14.546,40,37.793
123907,-0.022,14.216,14.194,40,37.793
123917,0.000,14.348,14.348,40,37.793
123927,0.022,14.700,14.722,40,37.881
123937,0.000,14.304,14.304,40,37.793
123947,-0.022,14.194,14.172,40,37.793
123957,0.000,14.590,14.590,40,37.881
123967,-0.044,14.612,14.568,40,37.881
123977,0.022,14.414,14.436,40,37.793
123987,-0.044,14.480,14.436,40,37.881
123997,-0.022,14.458,14.436,40,37.881
124007,0.000,14.194,14.194,40,37.881
124017,-0.044,14.260,14.216,40,37.793
124027,0.000,14.370,14.370,40,37.793
124037,0.000,14.480,14.480,40,37.793
124047,0.000,14.744,14.744,40,37.881
124057,-0.022,14.634,14.612,40,37.881
124067,-0.044,14.524,14.480,40,37.881
124077,-0.044,14.546,14.502,40,37.881
124087,-0.022,14.326,14.304,40,37.881
124097,-0.066,14.128,14.063,40,37.881
124107,0.022,14.612,14.634,40,37.881
124117,0.000,14.326,14.326,40,37.881
124127,-0.044,14.458,14.414,40,37.881
124137,-0.066,14.766,14.700,40,37.881
124147,-0.132,14.524,14.392,40,37.881
124157,-0.066,14.546,14.480,40,37.793
124167,-0.066,14.216,14.150,40,37.793
124177,-0.066,14.875,14.810,40,37.793
124187,-0.132,14.524,14.392,40,37.793
124197,-0.110,14.128,14.019,40,37.793
124207,-0.066,14.304,14.238,40,37.881
124217,-0.066,14.590,14.524,40,37.881
124227,-0.066,14.282,14.216,40,37.881
124237,-0.022,14.326,14.304,40,37.793
124247,-0.088,14.392,14.304,40,37.881
124257,-0.022,14.480,14.458,40,37.793
124267,-0.088,14.524,14.436,40,37.793
124277,-0.044,14.041,13.997,40,37.881
124287,-0.132,14.941,14.810,40,37.793
124297,-0.088,14.348,14.260,40,37.881
124307,-0.110,14.722,14.612,40,37.793
124317,-0.066,14.656,14.590,40,37.793
124327,-0.044,14.480,14.436,40,37.881
124337,-0.110,14.480,14.370,40,37.881
124347,-0.088,14.414,14.326,40,37.881
124357,-0.066,14.370,14.304,40,37.793
124367,-0.154,14.216,14.063,40,37.881
124377,-0.088,14.634,14.546,40,37.793
124387,-0.132,14.458,14.326,40,37.881
124397,-0.066,14.260,14.194,40,37.793
124407,-0.088,14.150,14.063,40,37.793
124417,-0.110,14.546,14.436,40,37.881
124427,-0.044,14.612,14.568,40,37.793
124437,-0.110,14.392,14.282,40,37.793
124447,-0.110,14.480,14.370,40,37.793
124457,-0.088,15.007,14.919,40,37.881
124467,-0.154,14.458,14.304,40,37.881
124477,-0.022,14.348,14.326,40,37.793
124487,-0.132,14.084,13.953,40,37.881
124497,-0.044,14.326,14.282,40,37.881
124507,-0.154,14.590,14.436,40,37.881
124517,-0.110,14.436,14.326,40,37.793
124527,-0.088,14.370,14.282,40,37.793
124537,-0.088,14.458,14.370,40,37.793
124547,-0.066,14.502,14.436,40,37.881
124557,-0.066,14.260,14.194,40,37.881
124567,-0.022,14.546,14.524,40,37.881
124577,-0.044,14.282,14.238,40,37.881
124587,-0.110,14.370,14.260,40,37.881
124597,-0.066,14.634,14.568,40,37.793
124607,-0.088,14.854,14.766,40,37.793
124617,-0.066,14.414,14.348,40,37.881
124627,-0.110,14.524,14.414,40,37.881
124637,0.000,14.436,14.436,40,37.881
124647,-0.110,14.480,14.370,40,37.881
124657,-0.088,14.568,14.480,40,37.881
124667,-0.066,14.678,14.612,40,37.881
124677,-0.066,14.194,14.128,40,37.881
124687,0.000,14.524,14.524,40,37.881
124697,-0.044,14.282,14.238,40,37.793
124707,-0.022,14.260,14.238,40,37.881
124717,0.000,14.480,14.480,40,37.793
124727,-0.044,14.590,14.546,40,37.793
124737,0.000,14.238,14.238,40,37.881
124747,0.044,14.612,14.656,40,37.881
124757,-0.110,14.370,14.260,40,37.793
124767,0.000,14.216,14.216,40,37.881
124777,0.044,14.348,14.392,40,37.793
124787,-0.022,14.150,14.128,40,37.793
124797,-0.022,14.194,14.172,40,37.793
124807,0.022,14.326,14.348,40,37.881
124817,-0.022,14.370,14.348,40,37.881
124827,0.000,14.788,14.788,40,37.881
124837,0.066,14.722,14.788,40,37.793
124847,0.000,14.788,14.788,40,37.881
124857,0.000,14.634,14.634,40,37.881
