# 형식: 읽기용 4Hz
E,169387,MOVE,0
E,171612,MOVE,10
E,173059,MOVE,0
# 출력 재개 (s 로 다시 정지)
dcmd=+0  d=-0.44 | phi=-18.61!  ank=-178.64  alpha=-197.25   << phi raw=0 >>
dcmd=+0  d=-0.44 | phi=-18.61!  ank=-178.55  alpha=-197.16   << phi raw=0 >>
dcmd=+0  d=-0.44 | phi=-18.61!  ank=-178.09  alpha=-196.70   << phi raw=0 >>
dcmd=+0  d=-0.35 | phi=-18.61!  ank=-178.13  alpha=-196.74   << phi raw=0 >>
dcmd=+0  d=-0.35 | phi=-18.61!  ank=-178.07  alpha=-196.68   << phi raw=0 >>
dcmd=+0  d=-0.35 | phi=-18.61!  ank=-177.98  alpha=-196.59   << phi raw=0 >>
dcmd=+0  d=-0.44 | phi=-18.61!  ank=-178.37  alpha=-196.98   << phi raw=0 >>
dcmd=+0  d=-0.35 | phi=-18.61!  ank=-177.82  alpha=-196.44   << phi raw=0 >>
dcmd=+0  d=-0.35 | phi=-18.61!  ank=-177.14  alpha=-195.75   << phi raw=0 >>
dcmd=+0  d=-0.35 | phi=-18.61!  ank=-175.98  alpha=-194.59   << phi raw=0 >>
dcmd=+0  d=-0.35 | phi=-18.61!  ank=-174.51  alpha=-193.12   << phi raw=0 >>
dcmd=+0  d=-0.26 | phi=-18.61!  ank=-169.54  alpha=-188.15   << phi raw=0 >>
dcmd=+0  d=-0.18 | phi=-18.61!  ank=-164.69  alpha=-183.30   << phi raw=0 >>
dcmd=+0  d=-0.18 | phi=-18.61!  ank=-162.51  alpha=-181.12   << phi raw=0 >>
dcmd=+0  d=-0.09 | phi=-18.61!  ank=-161.98  alpha=-180.59   << phi raw=0 >>
dcmd=+0  d=+0.09 | phi=-18.61!  ank=-160.95  alpha=-179.56   << phi raw=0 >>
dcmd=+0  d=+0.09 | phi=-18.61!  ank=-160.58  alpha=-179.19   << phi raw=0 >>
dcmd=+0  d=+0.18 | phi=-18.61!  ank=-159.81  alpha=-178.42   << phi raw=0 >>
dcmd=+0  d=+0.18 | phi=-18.61!  ank=-159.76  alpha=-178.37   << phi raw=0 >>
dcmd=+0  d=+0.09 | phi=-18.61!  ank=-158.97  alpha=-177.58   << phi raw=0 >>
dcmd=+0  d=+0.09 | phi=-18.61!  ank=-158.62  alpha=-177.23   << phi raw=0 >>
dcmd=+0  d=+0.09 | phi=-18.61!  ank=-158.99  alpha=-177.60   << phi raw=0 >>
dcmd=+0  d=-0.18 | phi=-18.61!  ank=-160.47  alpha=-179.08   << phi raw=0 >>
dcmd=+0  d=-0.18 | phi=-18.61!  ank=-160.55  alpha=-179.17   << phi raw=0 >>
dcmd=+0  d=-0.18 | phi=-18.61!  ank=-160.27  alpha=-178.88   << phi raw=0 >>
dcmd=+0  d=-0.09 | phi=-18.61!  ank=-160.33  alpha=-178.95   << phi raw=0 >>
dcmd=+0  d=-0.09 | phi=-18.61!  ank=-160.55  alpha=-179.17   << phi raw=0 >>
dcmd=+0  d=+0.09 | phi=-18.61!  ank=-160.14  alpha=-178.75   << phi raw=0 >>
dcmd=+0  d=-0.09 | phi=-18.61!  ank=-158.64  alpha=-177.25   << phi raw=0 >>
dcmd=+0  d=-0.18 | phi=-18.61!  ank=-161.13  alpha=-179.74   << phi raw=0 >>
dcmd=+0  d=-0.26 | phi=-18.61!  ank=-162.29  alpha=-180.90   << phi raw=0 >>
dcmd=+0  d=-0.35 | phi=-18.61!  ank=-162.95  alpha=-181.56   << phi raw=0 >>
dcmd=+0  d=-0.35 | phi=-18.61!  ank=-162.93  alpha=-181.54   << phi raw=0 >>
dcmd=+0  d=-0.35 | phi=-18.61!  ank=-162.62  alpha=-181.23   << phi raw=0 >>
dcmd=+0  d=-0.35 | phi=-18.61!  ank=-161.92  alpha=-180.53   << phi raw=0 >>
dcmd=+0  d=-0.35 | phi=-18.61!  ank=-162.51  alpha=-181.12   << phi raw=0 >>
dcmd=+0  d=-0.35 | phi=-18.61!  ank=-162.42  alpha=-181.03   << phi raw=0 >>
dcmd=+0  d=-0.35 | phi=-18.61!  ank=-162.25  alpha=-180.86   << phi raw=0 >>
dcmd=+0  d=-0.35 | phi=-18.61!  ank=-160.99  alpha=-179.60   << phi raw=0 >>
dcmd=+0  d=-0.26 | phi=-18.61!  ank=-161.30  alpha=-179.91   << phi raw=0 >>
dcmd=+0  d=-0.35 | phi=-18.61!  ank=-161.48  alpha=-180.09   << phi raw=0 >>
dcmd=+0  d=-0.26 | phi=-18.61!  ank=-161.08  alpha=-179.69   << phi raw=0 >>
dcmd=+0  d=-0.35 | phi=-18.61!  ank=-161.02  alpha=-179.63   << phi raw=0 >>
dcmd=+0  d=-0.26 | phi=-18.61!  ank=-160.27  alpha=-178.88   << phi raw=0 >>
dcmd=+0  d=-0.26 | phi=-18.61!  ank=-160.86  alpha=-179.47   << phi raw=0 >>
dcmd=+0  d=-0.26 | phi=-18.61!  ank=-160.31  alpha=-178.92   << phi raw=0 >>
dcmd=+0  d=-0.18 | phi=-18.61!  ank=-160.44  alpha=-179.06   << phi raw=0 >>
dcmd=+0  d=-0.09 | phi=-18.61!  ank=-160.09  alpha=-178.70   << phi raw=0 >>
dcmd=+0  d=-0.09 | phi=-18.61!  ank=-159.87  alpha=-178.48   << phi raw=0 >>
dcmd=+0  d=+0.09 | phi=-18.61!  ank=-158.95  alpha=-177.56   << phi raw=0 >>
dcmd=+0  d=-0.18 | phi=-18.61!  ank=-159.48  alpha=-178.09   << phi raw=0 >>
dcmd=+0  d=-0.26 | phi=-18.61!  ank=-160.47  alpha=-179.08   << phi raw=0 >>
dcmd=+0  d=-0.35 | phi=-18.61!  ank=-160.62  alpha=-179.23   << phi raw=0 >>
dcmd=+0  d=-0.35 | phi=-18.61!  ank=-161.06  alpha=-179.67   << phi raw=0 >>
dcmd=+0  d=-0.44 | phi=-18.61!  ank=-161.83  alpha=-180.44   << phi raw=0 >>
dcmd=+0  d=-0.35 | phi=-18.61!  ank=-162.55  alpha=-181.16   << phi raw=0 >>
dcmd=+0  d=-0.09 | phi=-7.84  ank=-162.60  alpha=-170.44
dcmd=+0  d=+0.35 | phi=-7.84!  ank=-159.65  alpha=-167.50   << phi raw=16383 >>
dcmd=+0  d=+0.26 | phi=-7.84!  ank=-161.98  alpha=-169.83   << phi raw=0 >>
dcmd=+0  d=+0.26 | phi=+5.52  ank=-161.26  alpha=-155.74
dcmd=+0  d=+0.26 | phi=+8.17  ank=-160.55  alpha=-152.38
dcmd=+0  d=+0.26 | phi=+10.92  ank=-163.15  alpha=-152.23
dcmd=+0  d=+0.26 | phi=+13.67  ank=-164.16  alpha=-150.49
dcmd=+0  d=+0.18 | phi=+15.93  ank=-166.93  alpha=-151.00
dcmd=+0  d=-0.18 | phi=+16.72  ank=-170.86  alpha=-154.14
dcmd=+0  d=-0.09 | phi=+14.77  ank=-174.51  alpha=-159.74
dcmd=+0  d=-0.18 | phi=+14.50  ank=-177.96  alpha=-163.45
dcmd=+0  d=-0.09 | phi=+17.25  ank=+177.56  alpha=+194.81
dcmd=+0  d=-0.09 | phi=+18.41  ank=+176.29  alpha=+194.70
dcmd=+0  d=-0.09 | phi=+19.91  ank=+176.07  alpha=+195.97
dcmd=+0  d=-0.09 | phi=+21.82  ank=+176.51  alpha=+198.33
